ts_loc,ts_exch,ap0,as0,ap1,as1,ap2,as2,ap3,as3,ap4,as4,bp0,bs0,bp1,bs1,bp2,bs2,bp3,bs3,bp4,bs4,lt_px,lt_sz,lt_side
1763567157.841254,1763567158209,90507.3,0.12116517,90507.5,0.00080022,90507.7,0.00080011,90507.9,0.00080023,90508.0,1e-05,90507.2,0.1249,90506.4,1e-05,90505.0,0.012,90502.1,0.00101,90499.6,0.00786207,90507.2,0.005,-1
1763567157.934263,1763567158309,90507.3,0.11420587,90507.5,0.00080022,90507.7,0.00080011,90507.9,0.00080023,90508.0,1e-05,90507.2,0.1249,90506.4,1e-05,90505.0,0.012,90502.1,0.00101,90499.8,0.00640263,90507.2,0.005,-1
1763567158.035402,1763567158409,90507.3,0.12113422,90507.5,0.00080022,90507.7,0.00080011,90507.9,0.00080023,90508.0,1e-05,90507.2,0.1249,90506.4,1e-05,90505.0,0.012,90502.1,0.00101,90499.6,0.00040538,90507.2,0.005,-1
1763567158.134519,1763567158509,90507.3,0.11417311,90507.5,0.00080022,90507.7,0.00080011,90507.9,0.00080023,90508.0,0.01201,90507.2,0.1249,90506.4,1e-05,90505.0,0.012,90502.3,0.00566715,90502.1,0.00101,90507.2,0.005,-1
1763567158.234807,1763567158609,90507.3,0.12107208,90507.4,0.006391,90507.5,0.00087722,90507.6,7.7e-05,90507.7,0.00087711,90507.2,0.1249,90506.4,1e-05,90505.0,0.012,90502.1,0.00101,90499.6,0.00040538,90507.2,0.005,-1
1763567158.335076,1763567158709,90507.3,0.12617311,90507.4,0.006391,90507.5,0.00087722,90507.6,7.7e-05,90507.7,0.00087711,90507.2,0.1249,90506.4,1e-05,90506.0,0.012,90505.0,0.012,90502.1,0.00101,90507.2,0.005,-1
1763567158.436984,1763567158809,90507.3,0.11117311,90507.4,0.006391,90507.5,0.00087722,90507.6,7.7e-05,90507.7,0.00087711,90507.2,0.1249,90506.4,1e-05,90506.0,0.012,90505.0,0.012,90502.1,0.00101,90507.2,0.005,-1
1763567158.5337532,1763567158909,90507.3,0.01287695,90507.4,0.006391,90507.5,0.00087722,90507.6,7.7e-05,90507.7,0.00087711,90507.2,0.2998059,90507.0,0.012,90506.4,1e-05,90506.0,0.012,90505.0,0.012,90507.2,0.005,-1
1763567158.6346638,1763567159009,90508.3,0.00087734,90508.4,7.7e-05,90508.5,0.00087729,90508.6,7.7e-05,90508.7,0.00087711,90508.2,0.7499993,90508.1,0.2054463,90508.0,0.012,90507.8,0.1,90507.5,0.04804533,90508.2,7.7e-05,1
1763567158.7364779,1763567159109,90508.3,0.00131078,90508.4,7.7e-05,90508.5,0.00087729,90508.6,7.7e-05,90508.7,0.00087711,90508.2,0.76223667,90508.1,0.2694463,90508.0,0.112,90507.8,0.1,90507.6,0.16286123,90508.2,1.042e-05,-1
1763567158.935081,1763567159309,90508.3,0.00131078,90508.4,7.7e-05,90508.5,0.00087729,90508.6,7.7e-05,90508.7,0.00087711,90508.2,0.76223667,90508.1,0.33496177,90508.0,0.112,90507.8,0.1,90507.6,0.16286123,90508.2,1.042e-05,-1
1763567159.034215,1763567159409,90508.3,0.157891,90508.4,7.7e-05,90508.5,0.00087729,90508.6,7.7e-05,90508.7,0.00087711,90508.2,0.14312779,90508.0,0.012,90507.5,0.001,90507.2,0.001,90507.0,0.012,90508.2,1.042e-05,-1
1763567159.134005,1763567159509,90508.3,0.1190604,90508.4,7.7e-05,90508.5,0.00087729,90508.6,7.7e-05,90508.7,0.00087711,90508.2,0.18337779,90508.0,0.012,90507.5,0.001,90507.0,0.012,90506.4,1e-05,90508.2,1.042e-05,-1
1763567159.2336159,1763567159609,90508.3,0.08538331,90508.4,0.000154,90508.5,0.00087729,90508.6,7.7e-05,90508.7,0.00087711,90508.2,0.18337779,90508.1,0.01462949,90508.0,0.012,90507.5,0.001,90507.0,0.012,90508.2,1.042e-05,-1
1763567159.434228,1763567159809,90507.6,0.44745005,90507.8,0.06102489,90507.9,0.05524382,90508.0,0.012,90508.3,0.00123378,90507.5,0.22761177,90507.4,7.7e-05,90507.3,7.7e-05,90507.2,7.7e-05,90507.1,7.7e-05,90507.6,0.02216498,1
1763567159.534993,1763567159909,90507.6,0.63118502,90507.7,0.16344758,90507.9,0.16286123,90508.0,0.03999597,90509.0,0.012,90507.5,0.00113935,90507.4,7.7e-05,90507.3,7.7e-05,90507.2,7.7e-05,90507.1,7.7e-05,90509.2,0.00074168,1
1763567159.6351318,1763567160009,90502.2,0.19817445,90504.0,0.01201,90505.0,0.012,90506.0,0.012,90506.9,0.05578106,90502.1,0.09910054,90502.0,7.7e-05,90501.9,7.7e-05,90501.8,7.7e-05,90501.7,7.7e-05,90506.2,6.235e-05,-1
1763567159.736646,1763567160109,90503.7,0.12791415,90504.0,0.01201,90505.0,0.012,90506.0,0.012,90507.0,0.012,90503.6,0.21178,90503.0,0.012,90502.1,0.001087,90502.0,0.012077,90501.9,7.7e-05,90506.2,6.235e-05,-1
1763567159.83519,1763567160209,90502.2,0.19507239,90503.7,0.001,90504.0,0.01201,90504.8,0.00948183,90505.0,0.012,90502.1,0.001077,90502.0,7.7e-05,90501.9,7.7e-05,90501.8,7.7e-05,90501.7,7.7e-05,90506.2,6.235e-05,-1
1763567159.934795,1763567160309,90502.2,0.37509379,90503.0,0.012,90503.1,0.03780522,90503.7,0.001,90504.0,0.01201,90502.1,0.00064782,90502.0,7.7e-05,90501.9,7.7e-05,90501.8,7.7e-05,90501.7,7.7e-05,90502.1,0.0001655,-1
1763567160.033644,1763567160409,90502.2,0.25597158,90503.0,0.012,90503.1,0.03780522,90503.7,0.001,90504.0,0.01201,90502.1,0.00044235,90502.0,7.7e-05,90501.9,7.7e-05,90501.8,7.7e-05,90501.7,7.7e-05,90502.1,0.00010584,-1
1763567160.133437,1763567160509,90502.2,0.25597158,90502.3,0.000154,90502.4,7.7e-05,90502.5,7.7e-05,90502.6,7.7e-05,90502.1,0.00044235,90502.0,7.7e-05,90501.9,7.7e-05,90501.8,7.7e-05,90501.7,7.7e-05,90502.1,0.00010584,-1
1763567160.3341062,1763567160709,90502.1,0.58448999,90502.2,0.21808158,90502.3,0.000154,90502.4,7.7e-05,90502.5,7.7e-05,90502.0,7.7e-05,90501.9,7.7e-05,90501.8,7.7e-05,90501.7,7.7e-05,90501.6,7.7e-05,90502.1,0.00044235,-1
1763567160.4348211,1763567160809,90500.2,0.2971769,90500.3,0.03395882,90501.0,0.012,90501.3,0.00733,90501.8,0.03103266,90500.1,0.00054105,90500.0,7.7e-05,90499.9,0.00087723,90499.8,7.7e-05,90499.7,0.00087711,90500.1,0.00033626,-1
1763567160.534954,1763567160909,90494.6,0.34650279,90495.0,0.012,90495.2,0.1659673,90495.6,0.1659673,90496.0,0.012,90494.5,0.00048637,90494.4,7.7e-05,90494.3,0.00087663,90494.2,0.001077,90494.1,0.00087688,90494.5,0.00041369,-1
1763567160.640558,1763567161009,90485.1,0.08129551,90486.1,0.13312981,90486.3,0.00079963,90486.5,0.00079969,90486.7,0.00079978,90485.0,0.00719735,90484.0,0.012,90483.1,0.03121397,90483.0,0.012,90482.4,0.00040087,90485.0,0.0008004,-1
1763567160.733588,1763567161109,90484.1,0.07488575,90485.0,0.04981279,90485.1,0.1069711,90485.9,0.03103811,90486.1,0.05605603,90484.0,0.08337709,90483.0,0.012,90482.4,0.00040087,90482.0,0.012,90481.0,0.012,90485.0,2.011e-05,-1
1763567160.8333051,1763567161209,90484.1,0.09023,90485.0,0.04981279,90485.1,0.1069711,90485.9,0.03103811,90486.0,0.012,90484.0,0.09493663,90483.0,0.012,90482.4,0.00040087,90482.0,0.012,90481.1,0.01446692,90484.0,1.034e-05,-1
